,sentences1,sentences2,is_similar
0,the person at the office signed the marriage certificate ,before the wedding  they look at the pretty flowers ,1
1,the person at the office signed the marriage certificate ,we went to a rainy st  patricks parade ,0
2,before the wedding  they look at the pretty flowers ,the photographer wants to get some unique shots of them ,1
3,before the wedding  they look at the pretty flowers ,it was time for their big day  but where was the bride ,0
4,the photographer wants to get some unique shots of them ,the bride made sure he also gets shots of the food ,1
5,the photographer wants to get some unique shots of them ,today was graduation day for organization organization organization ,0
6,the bride made sure he also gets shots of the food ,they get married  and share their first kiss ,1
7,the bride made sure he also gets shots of the food ,the party started outdoors in preparation for trick or treating ,0
8,it s dads birthday today ,the family spent a long time decorating ,1
9,it s dads birthday today ,a man walked around the edge of the lake one day ,0
10,the family spent a long time decorating ,the family has gotten together to celebrate this occasion dad likes the gifts he has received and the dog appears to be in on the festivities the kids have gotten dad some more presents and he s opening them ,1
11,the family spent a long time decorating ,the class gathered around their teacher during the experiment ,0
12,the family has gotten together to celebrate this occasion dad likes the gifts he has received and the dog appears to be in on the festivities the kids have gotten dad some more presents and he s opening them ,dad shows off the card his two sons made for him ,1
13,the family has gotten together to celebrate this occasion dad likes the gifts he has received and the dog appears to be in on the festivities the kids have gotten dad some more presents and he s opening them ,we started our hike at the beautiful old bridge ,0
14,the leaves on the trees were starting to change colors ,there were still a few bright colors to be seen ,1
15,the leaves on the trees were starting to change colors ,picture of the cross  it is a blessed day ,0
16,there were still a few bright colors to be seen ,the boy drove his bike to the store ,1
17,there were still a few bright colors to be seen ,today we visited a farm ,0
18,the boy drove his bike to the store ,there was a small power station on the side of the building ,1
19,the boy drove his bike to the store ,the guests were gathered around looking for the women of honor ,0
20,there was a small power station on the side of the building ,the building was closed  but had just put up new signs ,1
21,there was a small power station on the side of the building ,i went with my friend to the concert last week ,0
22,the event was expected to be a huge success ,and if the designated seats were any sign  there was a big day ahead ,1
23,the event was expected to be a huge success ,this house was made into a haunted house ,0
24,and if the designated seats were any sign  there was a big day ahead ,the speakers were all absolutely outstanding ,1
25,and if the designated seats were any sign  there was a big day ahead ,the awards have arrived for the ceremony ,0
26,the speakers were all absolutely outstanding ,one side of the audience loved what the saw and the other side likes it so much they gave a round of applause ,1
27,the speakers were all absolutely outstanding ,today was the day ,0
28,a man and a woman were playing rock band video game during a party ,more people were taking turn playing the video ,1
29,a man and a woman were playing rock band video game during a party ,when we went to the church on the vacation we got to see great stained glass windows ,0
30,more people were taking turn playing the video ,the lady wearing the pink shirt decided to stop playing the video and chatted with other guests ,1
31,more people were taking turn playing the video ,there were a lot of people at the fair ,0
32,the lady wearing the pink shirt decided to stop playing the video and chatted with other guests ,a man and a woman were amused looking at adults having a good time playing rock band video game ,1
33,the lady wearing the pink shirt decided to stop playing the video and chatted with other guests ,after we got through traffic we finally made it to the restaurant ,0
34,a man and a woman were amused looking at adults having a good time playing rock band video game ,at the end of the night  guests taking pictures before saying goodbye to each other ,1
35,a man and a woman were amused looking at adults having a good time playing rock band video game , male  and  female  got married today ,0
36,he ran down the stairs yelling  i found it  ,offering up the missing document ,1
37,he ran down the stairs yelling  i found it  ,the group of people arrived to have lunch before the settlement re  enactment ,0
38,offering up the missing document ,it was time to celebrate now that the important paper had been found ,1
39,offering up the missing document ,a truck stop can be a busy place ,0
40,it was time to celebrate now that the important paper had been found ,he presented an array of liquor bottles ,1
41,it was time to celebrate now that the important paper had been found ,the couple decided they wanted a pirate themed wedding  so the bride and groom dressed up like pirates  and they got married by the water like pirates do ,0
42,he presented an array of liquor bottles ,the beer delivery was finally there ,1
43,he presented an array of liquor bottles ,today was the day for the family reunion ,0
44,the beer delivery was finally there ,the party could get started ,1
45,the beer delivery was finally there , male  made thanksgiving dinner  he mashed yams ,0
46,the party could get started ,he wondered if anyone would be upset if he told them he really did nt like being enveloped in smoke all that much ,1
47,the party could get started ,we were so happy to be married ,0
