,sentences1,sentences2,is_similar
0,the person at the office signed the marriage,they look,1
1,the person at the office signed the marriage,a car showed up street,0
2,they look,the photographer wants to get shots,1
3,they look,it was a,0
4,the photographer wants to get shots,the bride the,1
5,the photographer wants to get shots,i met the love of my life a,0
6,the bride the,they get and share their first kiss,1
7,the bride the,a group tours the zoo,0
8,it s dads birthday,the family spent a long time decorating,1
9,it s dads birthday,there are families struggling to survive in this environment everyday,0
10,the family spent a long time decorating,the family has gotten to celebrate this occasion dad likes,1
11,the family spent a long time decorating,we,0
12,the family has gotten to celebrate this occasion dad likes,dad shows off the card his two sons made,1
13,the family has gotten to celebrate this occasion dad likes,we waited anxiously for the parade to start,0
14,the leaves on the trees were starting to change colors,there were a few bright colors to be seen,1
15,the leaves on the trees were starting to change colors,we a great time wedding,0
16,there were a few bright colors to be seen,the boy drove his bike to the store,1
17,there were a few bright colors to be seen,mrs  how proud she,0
18,the boy drove his bike to the store,there was a small power station on the side of the building,1
19,the boy drove his bike to the store,it was a day at the track,0
20,there was a small power station on the side of the building,the building was  but had just put up new signs,1
21,there was a small power station on the side of the building,i had a great time at the school ball game,0
22,the event was expected to be a success,the designated seats were there was a big day,1
23,the event was expected to be a success,i went to the wedding,0
24,the designated seats were there was a big day,the speakers were all absolutely outstanding,1
25,the designated seats were there was a big day,it was,0
26,the speakers were all absolutely outstanding,what the saw likes so much they,1
27,the speakers were all absolutely outstanding,there were around and they showed the boys things,0
28,a man and were playing game during a party,more people were taking turn playing the video,1
29,a man and were playing game during a party,i sunlight coming,0
30,more people were taking turn playing the video,the lady decided to stop playing the video,1
31,more people were taking turn playing the video,eleni was proud to be graduating,0
32,the lady decided to stop playing the video,a man woman were amused looking at adults having a playing game,1
33,the lady decided to stop playing the video,i threw a halloween party,0
34,a man woman were amused looking at adults having a playing game,guests taking pictures before saying goodbye,1
35,he ran i found,offering up the missing document,1
36,he ran i found,and about to start drinking,0
37,offering up the missing document,the important paper had been found,1
38,the important paper had been found,he presented an array of liquor bottles,1
39,the important paper had been found,was,0
40,he presented an array of liquor bottles,the beer delivery was,1
41,he presented an array of liquor bottles,everybody,0
42,the beer delivery was,the party could get started,1
43,the beer delivery was,i went to see my teacher give a speech,0
44,the party could get started,he wondered anyone would be upset he,1
45,the party could get started,we checked our reserves,0
46,he wondered anyone would be upset he,they were feeling no pain sampled,1
47,he wondered anyone would be upset he,the terminal market s see what they have in,0
48,we are gathering to go into the reception,smiling for a quick photo,1
49,we are gathering to go into the reception,parties at are always a blast,0
50,smiling for a quick photo,nothing and to make the reception go by,1
51,smiling for a quick photo,there was a speed chase on the highway,0
52,nothing and to make the reception go by,bride and groom taking their twirl on the dance floor,1
53,nothing and to make the reception go by,our new year s party was great fun,0
54,bride and groom taking their twirl on the dance floor,making everlasting memories,1
55,bride and groom taking their twirl on the dance floor,we drove our car,0
56,time to living things,just need to be goofy sometimes,1
57,time to living things,i had a time at,0
58,just need to be goofy sometimes,people are taking things a little too seriously,1
59,just need to be goofy sometimes,there were not a lot of people,0
60,it was a wedding ceremony,the ceremony was followed by a reception,1
61,it was a wedding ceremony,i decided to hang out with a good friend,0
62,the ceremony was followed by a reception,we a choice of entrees,1
63,the ceremony was followed by a reception,a pristine night after the opera,0
64,we a choice of entrees,the fish was prepared elegantly,1
65,we a choice of entrees,setting up the guitars,0
66,the fish was prepared elegantly,the beef  was prepared,1
67,the fish was prepared elegantly,i to travel this is amazing so much to,0
68,the beef  was prepared,dessert was the best part,1
69,the beef  was prepared,male loved his cat,0
70,dessert was the best part,simple and tasty,1
71,dessert was the best part,i arrived at my friend s halloween party,0
72,community to people they do,men and women  large,1
73,community to people they do,the friends gathered,0
74,men and women  large, wow look at that stride,1
75,men and women  large,today was probably the best wedding i two,0
76, wow look at that stride,the picture took was at 3532running long is,1
77, wow look at that stride,the bleak weather could nt ruin the outlook of our wonderful wedding day,0
78,the picture took was at 3532running long is,people coming in still,1
79,the picture took was at 3532running long is,the people marched the street,0
80,a group came to celebrate the opening of a new studio for an artist,the artist provided champagne,1
81,a group came to celebrate the opening of a new studio for an artist,the camera was setup ready,0
82,the artist provided champagne,friends toasted and cheered artist as she opened her studio,1
83,the artist provided champagne,look at the,0
84,friends toasted and cheered artist as she opened her studio,others ate,1
85,friends toasted and cheered artist as she opened her studio,we had to join up tables,0
86,others ate,everyone talked at the opening,1
87,others ate,the market carried traditional clothing,0
88,our neighborhood was having a watch party,we,1
89,our neighborhood was having a watch party,i went to a costume birthday party for my best friend,0
90,we,my husband took the kids sledding,1
91,we,there was a good at this halloween party,0
92,my husband took the kids sledding,i was preparing some snacks for the party,1
93,my husband took the kids sledding,the gentleman sat with the boy,0
94,i was preparing some snacks for the party,i asked a couple of my neighbors to help me prepare the snack,1
95,i was preparing some snacks for the party,it was the fourth,0
96,the family parked their trailer,grandpa could nt wait to start taking pictures,1
97,the family parked their trailer,this place is a dump,0
98,grandpa could nt wait to start taking pictures,the girl wanted to,1
99,grandpa could nt wait to start taking pictures,the pre  opera tailgate was a success,0
100,they met of took,went,1
101,they met of took,some friends got together for a house party,0
102,went,who was on the town,1
103,went,the bike is at a bike shop,0
104,who was on the town,they were exhausted but,1
105,who was on the town,our vacation led on an trail,0
106,our first to location,this was the place at,1
107,our first to location,we are is getting some material,0
108,this was the place at,this was the site,1
109,this was the place at,the family went on vacation  a group haveing lunch,0
110,this was the site,we got to travel down this hil,1
111,this was the site,we travel to the wild once we,0
112,the lincoln museum had a lot of information,it had the train car key,1
113,the lincoln museum had a lot of information,it s time for graduation day,0
114,they had rope hanging of the conspirators,they had a lot of books,1
115,they had rope hanging of the conspirators,the soccer game is,0
116,ooh might make,stepping for,1
